name	x	y	z	size
T01	-44.759	-73.107	-14.283	n/a
T02	-49.759	-64.107	-12.283	n/a
T03	-54.759	-55.107	-9.283	n/a
T04	-60.759	-47.107	-7.283	n/a
T05	-64.759	-37.107	-6.283	n/a
T06	-67.759	-27.107	-5.283	n/a
T07	-69.759	-15.107	-4.283	n/a
T08	-69.759	-5.107	-1.283	n/a
T09	-42.759	-74.107	-5.283	n/a
T10	-48.759	-66.107	-2.283	n/a
T11	-54.759	-58.107	-0.283	n/a
T12	-59.759	-49.107	2.717	n/a
T13	-64.759	-39.107	3.717	n/a
T14	-66.759	-29.107	5.717	n/a
T15	-67.759	-18.107	6.717	n/a
T16	-65.759	-7.107	7.717	n/a
T17	-39.759	-76.107	5.717	n/a
T18	-46.759	-68.107	8.717	n/a
T19	-52.759	-59.107	9.717	n/a
T20	-57.759	-51.107	11.717	n/a
T21	-62.759	-42.107	13.717	n/a
T22	-64.759	-30.107	15.717	n/a
T23	-65.759	-20.107	16.717	n/a
T24	-65.759	-9.107	18.717	n/a
T25	-35.759	-76.107	14.717	n/a
T26	-42.759	-69.107	16.717	n/a
T27	-48.759	-62.107	19.717	n/a
T28	-54.759	-53.107	22.717	n/a
T29	-59.759	-43.107	24.717	n/a
T30	-61.759	-33.107	26.717	n/a
T31	-64.759	-21.107	27.717	n/a
T32	-65.759	-11.107	28.717	n/a
T33	-31.759	-77.107	23.717	n/a
T34	-38.759	-70.107	26.717	n/a
T35	-46.759	-62.107	29.717	n/a
T36	-50.759	-54.107	31.717	n/a
T37	-55.759	-44.107	34.717	n/a
T38	-58.759	-35.107	36.717	n/a
T39	-60.759	-23.107	38.717	n/a
T40	-61.759	-11.107	39.717	n/a
T41	-25.759	-76.107	32.717	n/a
T42	-34.759	-70.107	35.717	n/a
T43	-40.759	-62.107	39.717	n/a
T44	-46.759	-53.107	41.717	n/a
T45	-50.759	-44.107	44.717	n/a
T46	-53.759	-34.107	46.717	n/a
T47	-55.759	-22.107	47.717	n/a
T48	-56.759	-11.107	47.717	n/a
AT49	-16.759	-20.107	-16.283	n/a
AT50	-25.759	-23.107	-20.283	n/a
AT51	-34.759	-25.107	-23.283	n/a
AT52	-44.759	-28.107	-25.283	n/a
AT53	-58.759	-32.107	-27.283	n/a
AT54	-62.759	-30.107	-17.283	n/a
AT55	-66.759	-32.107	-4.283	n/a
AT56	-66.759	-31.107	4.717	n/a
AT57	-15.759	-30.107	-13.283	n/a
AT58	-23.759	-33.107	-18.283	n/a
AT59	-32.759	-36.107	-22.283	n/a
AT60	-41.759	-38.107	-24.283	n/a
AT61	-56.759	-42.107	-25.283	n/a
AT62	-60.759	-43.107	-15.283	n/a
AT63	-62.759	-41.107	-4.283	n/a
AT64	-63.759	-40.107	4.717	n/a
F01	-18.759	10.893	73.717	n/a
F02	-27.759	10.893	70.717	n/a
F03	-35.759	10.893	67.717	n/a
F04	-44.759	10.893	61.717	n/a
F05	-52.759	9.893	53.717	n/a
F06	-58.759	8.893	43.717	n/a
F07	-62.759	6.893	34.717	n/a
F08	-65.759	5.893	24.717	n/a
F09	-17.759	19.893	72.717	n/a
F10	-25.759	20.893	68.717	n/a
F11	-34.759	20.893	65.717	n/a
F12	-44.759	20.893	59.717	n/a
F13	-52.759	20.893	51.717	n/a
F14	-56.759	18.893	41.717	n/a
F15	-60.759	17.893	32.717	n/a
F16	-64.759	14.893	23.717	n/a
vT1	-19.759	25.893	-24.283	n/a
vT2	-27.759	33.893	-25.283	n/a
vT3	-37.759	33.893	-28.283	n/a
vT4	-48.759	29.893	-27.283	n/a
vT5	-54.759	23.893	-27.283	n/a
vT6	-60.759	14.893	-23.283	n/a
vT7	-62.759	7.893	-20.283	n/a
vT8	-66.759	-3.107	-14.283	n/a
sT1	-29.759	35.893	-20.283	n/a
sT2	-25.759	29.893	-30.283	n/a
sT3	-25.759	21.893	-35.283	n/a
sT4	-32.759	13.893	-39.283	n/a
sT5	-40.759	7.893	-36.283	n/a
sT6	-48.759	2.893	-31.283	n/a
sT7	-57.759	0.893	-26.283	n/a
sT8	-64.759	-1.107	-19.283	n/a
